  283 R     8.2023 0.1   5.2483 0.1 
  196 G2    6.7578 0.1   5.1270 0.1 
  495 G1    3.8485 0.1   3.3015 0.1 
  382 G3    2.1387 0.1   6.6991 0.1 
   63 G2    6.4351 0.1   5.8382 0.1 
  442 G1    3.3530 0.1   2.9608 0.1 
  363 G3    3.1795 0.1   8.5507 0.1 
  396 G3    2.7936 0.1   7.9352 0.1 
  374 R     2.7445 0.1   1.7780 0.1 
   29 G1    2.9292 0.1   2.8596 0.1 
  238 R     0.0949 0.1   9.5752 0.1 
  214 G3    3.6947 0.1   8.8142 0.1 
  272 R     1.0216 0.1   1.9535 0.1 
  464 G2    7.0918 0.1   4.8316 0.1 
  299 R     6.4012 0.1   5.9399 0.1 
  417 G2    7.2039 0.1   3.3193 0.1 
   87 R     4.2354 0.1   8.8328 0.1 
  290 G3    2.2770 0.1   7.5445 0.1 
   91 G3    3.0299 0.1   8.8023 0.1 
  187 G3    2.5051 0.1   7.4000 0.1 
  239 G3    2.3294 0.1   7.2506 0.1 
  412 G2    6.7063 0.1   5.3633 0.1 
  447 G3    2.4964 0.1   7.7994 0.1 
  459 G1    2.4654 0.1   3.0329 0.1 
  477 R     3.4994 0.1   2.6997 0.1 
   99 R     7.0053 0.1   9.1735 0.1 
  372 G3    2.9807 0.1   7.9799 0.1 
  296 G1    3.4207 0.1   3.0335 0.1 
  231 R     9.8105 0.1   6.6890 0.1 
  307 R     1.4966 0.1   9.6288 0.1 
   95 G3    2.1334 0.1   6.9999 0.1 
  428 R     9.1989 0.1   9.6868 0.1 
    4 G3    3.2323 0.1   8.0591 0.1 
  315 G1    2.3284 0.1   2.9135 0.1 
   25 G3    2.6517 0.1   8.1569 0.1 
  305 G2    6.2261 0.1   6.5776 0.1 
  224 R     1.9224 0.1   6.6375 0.1 
  241 G1    2.8325 0.1   2.5697 0.1 
  263 G3    3.9125 0.1   8.6756 0.1 
  142 G3    3.1698 0.1   7.7160 0.1 
  298 R     2.7582 0.1   7.3304 0.1 
  266 R     9.7041 0.1   6.7970 0.1 
  497 G2    6.9580 0.1   5.4970 0.1 
   68 G3    3.8840 0.1   9.0888 0.1 
   55 R     8.0247 0.1   0.2701 0.1 
   47 G1    3.2081 0.1   2.7823 0.1 
  455 G1    2.8443 0.1   3.3671 0.1 
  252 R     4.3972 0.1   8.9364 0.1 
  293 G3    2.3212 0.1   7.1330 0.1 
  333 R     9.8965 0.1   7.7699 0.1 
  424 G2    6.8818 0.1   5.2408 0.1 
  102 G3    3.4008 0.1   8.3963 0.1 
  263 G1    2.2623 0.1   3.1972 0.1 
  129 G3    2.2355 0.1   7.0146 0.1 
  296 G3    3.1112 0.1   8.1383 0.1 
   55 G3    2.8267 0.1   7.7454 0.1 
  486 G1    2.9886 0.1   2.8237 0.1 
   58 G2    6.9591 0.1   5.0809 0.1 
  291 G1    2.8445 0.1   3.2144 0.1 
  325 G1    3.1187 0.1   2.9117 0.1 
  399 G2    6.2509 0.1   4.5190 0.1 
  478 G2    7.7667 0.1   6.6621 0.1 
  203 R     5.5036 0.1   5.5591 0.1 
  408 G2    6.8028 0.1   5.1517 0.1 
   89 G3    1.2696 0.1   7.1441 0.1 
   59 R     5.3612 0.1   7.6209 0.1 
  425 G3    3.4915 0.1   8.8859 0.1 
  367 G2    7.3025 0.1   4.8651 0.1 
  285 G1    3.1623 0.1   3.1147 0.1 
   61 G1    2.4610 0.1   3.4162 0.1 
  429 R     7.9221 0.1   2.2802 0.1 
  168 G3    2.6327 0.1   8.2691 0.1 
  366 R     1.0246 0.1   5.9243 0.1 
  270 G3    4.1090 0.1   8.9530 0.1 
   76 G3    3.5146 0.1   8.1805 0.1 
  164 R     3.7499 0.1   1.0089 0.1 
  121 G1    2.9927 0.1   3.3106 0.1 
  169 G3    3.3750 0.1   7.8843 0.1 
   80 G1    3.2123 0.1   3.6536 0.1 
  318 G1    3.7119 0.1   2.8035 0.1 
   78 G2    6.6126 0.1   5.7504 0.1 
  298 G2    7.4521 0.1   4.4542 0.1 
  151 G3    2.9454 0.1   7.0141 0.1 
  424 G1    2.9289 0.1   2.9310 0.1 
  423 G3    2.6382 0.1   7.0918 0.1 
  277 G3    3.8377 0.1   8.6736 0.1 
   43 G2    7.7518 0.1   4.2198 0.1 
  129 G2    7.2402 0.1   4.7103 0.1 
  297 G3    3.4753 0.1   8.9636 0.1 
   17 G3    3.3194 0.1   9.1826 0.1 
   41 G2    5.3857 0.1   6.4305 0.1 
  465 G3    3.2843 0.1   8.2105 0.1 
  413 R     0.7626 0.1   6.6971 0.1 
  204 G3    1.8257 0.1   7.0355 0.1 
  316 R     9.2213 0.1   2.8833 0.1 
   86 R     6.9030 0.1   4.8140 0.1 
  194 R     4.0041 0.1   5.8808 0.1 
  277 R     4.2130 0.1   0.2557 0.1 
  341 G2    7.4333 0.1   4.9221 0.1 
  117 G3    4.2985 0.1   9.0067 0.1 
   34 G2    6.5496 0.1   5.4904 0.1 
    8 G2    7.4634 0.1   4.7016 0.1 
  285 R     0.1729 0.1   8.1490 0.1 
   30 G3    2.7465 0.1   6.5615 0.1 
  458 R     6.4374 0.1   0.0435 0.1 
  329 R     5.2052 0.1   6.9312 0.1 
  472 R     1.8168 0.1   1.7804 0.1 
  440 G1    2.6662 0.1   2.8206 0.1 
  409 G3    3.5863 0.1   8.7066 0.1 
  232 G1    4.3058 0.1   3.1444 0.1 
  279 R     1.3950 0.1   0.7431 0.1 
  261 G3    2.9555 0.1   7.9349 0.1 
   89 R     5.6308 0.1   4.0283 0.1 
  144 G2    7.1085 0.1   4.7889 0.1 
  220 R     4.7830 0.1   9.7508 0.1 
  269 G3    2.8465 0.1   7.8251 0.1 
  498 R     9.0418 0.1   0.1022 0.1 
  183 G1    2.9292 0.1   3.3774 0.1 
  456 G2    7.3751 0.1   4.7210 0.1 
  393 G1    2.8525 0.1   2.8380 0.1 
   11 G3    2.6137 0.1   8.1975 0.1 
  225 G1    3.1285 0.1   3.1997 0.1 
  291 G3    2.8077 0.1   7.8313 0.1 
   68 R     8.7370 0.1   8.0388 0.1 
  287 G3    3.2701 0.1   8.1816 0.1 
  251 R     9.9741 0.1   9.0748 0.1 
  227 G1    2.0339 0.1   3.0326 0.1 
   19 G1    2.1837 0.1   2.9669 0.1 
   80 G3    3.3021 0.1   8.1386 0.1 
  295 R     5.4987 0.1   3.7692 0.1 
  441 G3    2.4940 0.1   7.4961 0.1 
  261 R     3.5846 0.1   3.9822 0.1 
   51 R     5.5231 0.1   4.3675 0.1 
   38 G1    3.4390 0.1   3.4357 0.1 
  307 G3    2.0212 0.1   7.2337 0.1 
  230 G3    2.8975 0.1   8.2003 0.1 
  327 G3    2.8121 0.1   7.8563 0.1 
  143 G3    2.2971 0.1   8.4202 0.1 
  355 G1    2.2394 0.1   2.5888 0.1 
   62 R     6.8062 0.1   7.8696 0.1 
  192 G1    2.9157 0.1   3.0069 0.1 
   63 G1    2.8502 0.1   3.0134 0.1 
  249 G3    3.4906 0.1   7.2963 0.1 
  262 R     1.3457 0.1   1.3179 0.1 
  420 G3    1.0141 0.1   8.1182 0.1 
  158 R     9.5818 0.1   8.1504 0.1 
  274 G2    5.6108 0.1   5.7078 0.1 
  444 G1    2.5937 0.1   2.1064 0.1 
   65 G1    4.1318 0.1   3.2721 0.1 
   17 G2    8.1254 0.1   3.2671 0.1 
  386 G1    3.0147 0.1   2.8419 0.1 
  278 G3    2.6787 0.1   7.7801 0.1 
  191 R     2.2007 0.1   3.2645 0.1 
  352 G2    5.4445 0.1   4.9528 0.1 
  499 G1    3.0436 0.1   2.7903 0.1 
  105 R     2.5791 0.1   2.1110 0.1 
   81 G2    7.5756 0.1   4.6077 0.1 
  150 G3    2.6139 0.1   6.9389 0.1 
  143 R     8.8395 0.1   0.9498 0.1 
  375 G1    3.4072 0.1   3.1587 0.1 
  408 R     4.2119 0.1   9.6353 0.1 
  385 R     2.8210 0.1   5.9119 0.1 
  408 G1    3.4453 0.1   2.9588 0.1 
  290 R     6.0040 0.1   8.6931 0.1 
  480 G3    2.8458 0.1   7.8111 0.1 
  217 G1    2.7182 0.1   3.1541 0.1 
  332 G1    2.2482 0.1   2.5635 0.1 
  221 G3    1.8562 0.1   6.4321 0.1 
  208 G2    7.0713 0.1   5.0132 0.1 
  147 R     6.0133 0.1   8.3568 0.1 
  354 G2    6.7311 0.1   5.3232 0.1 
  398 G1    3.9021 0.1   3.0659 0.1 
  463 G3    2.9422 0.1   8.7338 0.1 
  372 G1    2.8761 0.1   2.9024 0.1 
  192 G3    2.6503 0.1   7.0107 0.1 
  251 G2    6.7141 0.1   5.2884 0.1 
  390 G3    4.2971 0.1   9.0763 0.1 
  267 R     8.8587 0.1   2.8850 0.1 
  454 G1    3.1066 0.1   3.2344 0.1 
   46 G2    7.0349 0.1   4.9143 0.1 
  156 G1    2.6874 0.1   2.9828 0.1 
  345 G2    7.1042 0.1   4.8702 0.1 
   42 R     9.9909 0.1   1.4935 0.1 
  485 G1    3.3233 0.1   2.7591 0.1 
  435 G1    3.2029 0.1   2.6707 0.1 
   73 R     5.4356 0.1   0.7122 0.1 
  268 R     2.0374 0.1   5.8920 0.1 
   64 G2    7.7863 0.1   3.8504 0.1 
  238 G2    7.5417 0.1   3.9149 0.1 
  109 G2    7.0602 0.1   5.1709 0.1 
  300 G2    7.4412 0.1   4.6221 0.1 
   81 G3    3.1288 0.1   8.1542 0.1 
  428 G3    3.5668 0.1   8.7252 0.1 
  342 G1    3.3123 0.1   2.6101 0.1 
  171 G1    2.8205 0.1   3.0285 0.1 
  178 G1    2.9362 0.1   3.0995 0.1 
  255 G2    8.0396 0.1   4.0495 0.1 
  391 G3    3.7579 0.1   8.0176 0.1 
  365 G2    6.1434 0.1   5.5905 0.1 
  238 G3    2.7045 0.1   7.8130 0.1 
  210 G1    3.9982 0.1   3.4562 0.1 
  347 R     9.6731 0.1   4.5810 0.1 
    3 G1    3.1681 0.1   3.4221 0.1 
  209 G1    3.3782 0.1   3.3031 0.1 
  254 G3    2.5811 0.1   7.2412 0.1 
  494 R     2.8845 0.1   1.6079 0.1 
   81 R     6.7383 0.1   8.5302 0.1 
  240 R     8.7307 0.1   4.0922 0.1 
    1 G1    3.0538 0.1   2.8007 0.1 
  236 G1    2.7008 0.1   2.9197 0.1 
  310 G1    3.8577 0.1   2.5874 0.1 
  339 R     0.6165 0.1   8.7166 0.1 
  163 G2    6.7711 0.1   5.6451 0.1 
  306 G1    2.0912 0.1   3.1488 0.1 
  435 G2    6.9136 0.1   5.1504 0.1 
  219 G1    3.2840 0.1   3.2938 0.1 
  387 G2    7.1337 0.1   4.8640 0.1 
  461 G1    2.7401 0.1   3.0879 0.1 
  210 G2    8.5852 0.1   4.3078 0.1 
   36 G3    3.1876 0.1   8.1449 0.1 
   85 G1    3.5432 0.1   2.8371 0.1 
  234 G1    2.8781 0.1   3.0482 0.1 
  130 R     5.5077 0.1   1.4679 0.1 
    4 G1    3.3529 0.1   3.4400 0.1 
  343 G2    7.6854 0.1   4.4336 0.1 
  272 G3    4.2848 0.1   5.3716 0.1 
  459 G3    2.4937 0.1   7.8815 0.1 
  292 G3    3.9684 0.1   9.1269 0.1 
   47 G2    7.5252 0.1   3.6364 0.1 
  474 G2    7.7650 0.1   3.9775 0.1 
   12 G3    3.4265 0.1   8.3899 0.1 
  425 G2    7.2990 0.1   4.6250 0.1 
  156 G3    4.2725 0.1   6.9917 0.1 
  204 G2    7.5660 0.1   4.6938 0.1 
  465 R     8.8523 0.1   4.2838 0.1 
  486 G2    7.5163 0.1   6.1964 0.1 
   66 G2    7.5492 0.1   2.8860 0.1 
  458 G1    3.3790 0.1   2.7905 0.1 
  335 R     4.6951 0.1   7.5593 0.1 
  437 G3    3.5388 0.1   8.2704 0.1 
  218 R     8.4437 0.1   3.7357 0.1 
  285 G3    1.6096 0.1   7.4873 0.1 
  481 G3    2.6244 0.1   7.8850 0.1 
  353 G2    7.4798 0.1   5.7771 0.1 
  403 R     0.5235 0.1   0.0824 0.1 
  133 R     0.2006 0.1   5.1945 0.1 
  214 R     6.9468 0.1   6.9679 0.1 
  199 G1    3.0322 0.1   3.1948 0.1 
   53 G3    3.0932 0.1   8.1478 0.1 
  246 G2    8.2042 0.1   4.4528 0.1 
  471 R     2.7684 0.1   3.9272 0.1 
  138 G2    7.2610 0.1   4.5748 0.1 
  432 R     8.1710 0.1   9.7179 0.1 
  358 G2    6.6206 0.1   5.5706 0.1 
   30 G2    6.6780 0.1   4.2953 0.1 
  109 R     2.5750 0.1   9.9425 0.1 
  101 G2    6.6214 0.1   5.4345 0.1 
  453 G1    3.0194 0.1   2.6368 0.1 
  111 G1    2.6953 0.1   3.1018 0.1 
  260 G1    3.4650 0.1   2.8758 0.1 
  139 R     5.2451 0.1   7.0290 0.1 
  311 R     8.8357 0.1   9.5432 0.1 
  124 G3    1.8924 0.1   7.1823 0.1 
  135 G2    7.2671 0.1   4.1259 0.1 
  201 G2    6.7244 0.1   5.2302 0.1 
   68 G2    7.4911 0.1   4.6991 0.1 
   30 R     7.7761 0.1   4.3856 0.1 
  400 R     9.5254 0.1   4.1460 0.1 
  341 R     2.4730 0.1   9.0085 0.1 
  436 G2    8.3407 0.1   4.5029 0.1 
  354 G3    4.0276 0.1   8.1491 0.1 
  109 G3    2.0193 0.1   7.9432 0.1 
   65 G3    2.4202 0.1   7.1723 0.1 
  424 G3    3.7194 0.1   8.2599 0.1 
  148 R     4.8684 0.1   6.0514 0.1 
  454 R     3.5763 0.1   7.5340 0.1 
  492 G3    2.9077 0.1   7.9491 0.1 
  270 G1    3.0624 0.1   3.1067 0.1 
  483 G3    1.9492 0.1   7.2690 0.1 
  390 G1    3.3908 0.1   3.0042 0.1 
  116 G3    3.0757 0.1   8.0640 0.1 
  293 G2    7.4305 0.1   4.5267 0.1 
  438 R     3.5423 0.1   8.5210 0.1 
  271 G3    2.9529 0.1   7.9538 0.1 
  204 R     5.3563 0.1   9.9417 0.1 
  212 G1    1.9756 0.1   2.5202 0.1 
  471 G2    7.2022 0.1   4.7250 0.1 
  461 R     7.7364 0.1   8.1119 0.1 
  460 R     1.7386 0.1   0.8379 0.1 
  108 G2    7.7744 0.1   4.2409 0.1 
  343 R     6.9316 0.1   4.9853 0.1 
  207 G1    1.9958 0.1   2.9320 0.1 
  473 G1    2.7612 0.1   2.7461 0.1 
  460 G1    2.6416 0.1   2.7412 0.1 
   37 R     7.9637 0.1   6.2561 0.1 
  312 G2    6.3699 0.1   5.2703 0.1 
  449 G1    2.9965 0.1   3.3135 0.1 
  426 G3    4.6086 0.1   8.3806 0.1 
  146 G1    3.4482 0.1   2.6911 0.1 
   36 R     1.6678 0.1   5.0257 0.1 
  295 G2    7.2419 0.1   4.7175 0.1 
   48 G3    4.2159 0.1   8.2894 0.1 
  443 G1    2.2617 0.1   3.0456 0.1 
  337 G2    7.2028 0.1   4.2647 0.1 
  370 R     3.8125 0.1   8.9249 0.1 
  241 R     2.9829 0.1   8.6492 0.1 
  455 R     8.1011 0.1   8.1414 0.1 
  222 G3    3.5565 0.1   7.7152 0.1 
  164 G3    3.1728 0.1   6.2384 0.1 
  317 R     9.3177 0.1   1.0125 0.1 
  325 R     5.0840 0.1   9.6131 0.1 
  272 G2    6.4628 0.1   5.6757 0.1 
  368 G3    3.4530 0.1   8.2554 0.1 
  305 G1    2.8942 0.1   2.7428 0.1 
   73 G1    2.5873 0.1   3.1626 0.1 
  427 G1    4.1429 0.1   2.9718 0.1 
  150 G1    2.4515 0.1   2.9379 0.1 
    5 G3    3.5945 0.1   10.3366 0.1 
  244 G3    4.5676 0.1   9.1616 0.1 
  357 G3    2.3114 0.1   7.4491 0.1 
  341 G1    2.9511 0.1   3.3074 0.1 
  247 G3    1.9073 0.1   7.0222 0.1 
  288 G1    3.0152 0.1   2.6414 0.1 
   50 G2    5.8793 0.1   6.4461 0.1 
  215 G2    8.0570 0.1   3.9081 0.1 
  268 G1    3.6960 0.1   2.8566 0.1 
  289 G1    2.7312 0.1   3.3138 0.1 
  468 R     3.0418 0.1   7.6622 0.1 
  370 G2    7.6276 0.1   4.4306 0.1 
  326 G1    4.1258 0.1   2.8179 0.1 
  105 G1    2.7796 0.1   2.7849 0.1 
  136 R     1.8179 0.1   4.0791 0.1 
  435 R     7.0745 0.1   9.7301 0.1 
  156 R     9.3467 0.1   4.7818 0.1 
  453 R     9.2933 0.1   8.4223 0.1 
   29 G2    7.0641 0.1   6.5701 0.1 
  332 G3    2.8146 0.1   7.7271 0.1 
  358 R     2.2413 0.1   1.7657 0.1 
    4 G2    7.3417 0.1   4.5573 0.1 
  195 G3    2.7471 0.1   7.6921 0.1 
    7 R     0.5890 0.1   9.8023 0.1 
  329 G2    6.4214 0.1   5.4071 0.1 
  367 R     5.1784 0.1   7.5111 0.1 
  362 G1    3.0288 0.1   2.5936 0.1 
  209 G3    3.3966 0.1   8.3384 0.1 
  229 G1    3.2875 0.1   3.0642 0.1 
  292 G1    2.8246 0.1   2.6748 0.1 
  222 G2    7.3792 0.1   4.9602 0.1 
  470 G1    3.3326 0.1   2.9925 0.1 
  302 G2    7.2596 0.1   4.7850 0.1 
  373 G1    3.3353 0.1   3.1111 0.1 
  327 G1    2.7838 0.1   3.3910 0.1 
  441 G2    7.5381 0.1   4.7067 0.1 
    2 R     2.1349 0.1   5.6184 0.1 
  199 G3    3.2502 0.1   8.0006 0.1 
  457 G2    7.3823 0.1   6.1940 0.1 
  442 R     8.6171 0.1   1.5880 0.1 
  189 G2    7.2895 0.1   4.4961 0.1 
   42 G3    2.0633 0.1   7.5521 0.1 
  299 G3    3.0157 0.1   7.3350 0.1 
    0 R     2.2230 0.1   0.9374 0.1 
  252 G1    2.3359 0.1   3.0622 0.1 
  201 R     5.0208 0.1   3.5353 0.1 
  163 G3    3.0972 0.1   8.1126 0.1 
  324 G3    3.9837 0.1   8.9842 0.1 
  414 G3    2.7889 0.1   7.4918 0.1 
  323 G3    2.9572 0.1   7.4736 0.1 
  476 G3    4.0784 0.1   8.4454 0.1 
  253 G3    4.5300 0.1   8.4792 0.1 
  402 R     5.6855 0.1   9.2677 0.1 
  495 R     8.0871 0.1   1.3382 0.1 
  290 G1    3.1002 0.1   3.3749 0.1 
   44 G1    3.8695 0.1   2.4755 0.1 
  496 G1    2.2327 0.1   2.7817 0.1 
  267 G1    3.3237 0.1   2.8388 0.1 
  216 R     7.9847 0.1   1.1014 0.1 
    1 G2    7.4645 0.1   4.6415 0.1 
  430 G2    6.7206 0.1   5.2259 0.1 
  401 R     7.9514 0.1   4.2838 0.1 
   29 R     2.6715 0.1   3.5348 0.1 
  426 G2    7.2475 0.1   4.4206 0.1 
  152 G1    2.6110 0.1   3.4151 0.1 
  394 G1    3.4153 0.1   2.9651 0.1 
   39 R     1.3656 0.1   6.8743 0.1 
  452 G2    7.6094 0.1   4.3515 0.1 
  106 G3    2.9343 0.1   8.2620 0.1 
   28 G1    3.3013 0.1   3.0140 0.1 
  235 R     9.2499 0.1   2.2985 0.1 
  134 G2    6.2125 0.1   5.7772 0.1 
  379 G2    7.7330 0.1   4.2357 0.1 
  145 G2    6.1675 0.1   5.3129 0.1 
   22 G2    5.7958 0.1   5.4073 0.1 
   79 G2    6.9423 0.1   6.7855 0.1 
  265 G3    3.0705 0.1   8.0796 0.1 
  126 G3    3.4302 0.1   8.2287 0.1 
  157 G3    3.0941 0.1   8.0959 0.1 
    5 R     0.2456 0.1   3.6459 0.1 
  248 G3    1.5743 0.1   6.6993 0.1 
  122 G2    7.7384 0.1   4.3877 0.1 
  116 R     2.1754 0.1   9.4803 0.1 
  484 G3    1.7404 0.1   6.4002 0.1 
  390 R     5.8428 0.1   6.1516 0.1 
  377 G1    3.3604 0.1   2.8177 0.1 
  254 G2    6.7319 0.1   4.8751 0.1 
  123 G3    2.6499 0.1   7.3993 0.1 
   69 G2    7.3480 0.1   4.9096 0.1 
    6 G2    6.8098 0.1   5.0495 0.1 
   57 G1    2.2800 0.1   2.8510 0.1 
  147 G3    1.6285 0.1   6.6255 0.1 
  496 G3    3.6020 0.1   8.8131 0.1 
  494 G3    2.3395 0.1   7.2755 0.1 
  360 G1    3.0203 0.1   2.5389 0.1 
   64 R     6.5545 0.1   3.8955 0.1 
  130 G1    3.2484 0.1   3.1771 0.1 
  224 G3    2.2793 0.1   7.6046 0.1 
  338 G2    7.2625 0.1   4.3995 0.1 
  282 G3    2.5142 0.1   7.4950 0.1 
  192 R     9.5634 0.1   8.6699 0.1 
   14 R     3.3819 0.1   5.2928 0.1 
  101 G1    2.5771 0.1   3.0051 0.1 
  182 G1    2.9565 0.1   2.8884 0.1 
  299 G1    2.8845 0.1   3.4054 0.1 
  173 G1    2.7212 0.1   3.7926 0.1 
  412 R     9.6952 0.1   4.8238 0.1 
  234 R     9.0965 0.1   2.7325 0.1 
  369 G3    3.5535 0.1   8.9797 0.1 
   69 R     1.9256 0.1   7.8669 0.1 
   33 R     3.1048 0.1   4.0496 0.1 
  203 G1    3.2525 0.1   3.0631 0.1 
  278 R     4.6028 0.1   0.4506 0.1 
   40 G3    4.3541 0.1   8.0658 0.1 
  318 R     4.3597 0.1   3.4872 0.1 
  366 G1    3.5104 0.1   2.8733 0.1 
  161 G1    3.0511 0.1   3.1722 0.1 
  113 G1    2.8850 0.1   2.7793 0.1 
  440 R     7.3395 0.1   2.1059 0.1 
  185 G3    2.5056 0.1   7.5421 0.1 
  432 G2    6.6828 0.1   5.5425 0.1 
   92 G2    6.3721 0.1   5.3834 0.1 
